model,pretest,map_id,battle,map,outcome,reason,triggered,trigger_turn,target,launch_turn,launch_count,result_turn,first_attack_result,engaged,failed_waves,cf_start_bases_a,cf_start_bases_b,cf_final_bases_a,cf_final_bases_b,cf_relation,cf_unclaimed,cf_built_a,cf_built_b
110496,27,1558,220686,D:\github\2026-NYPC\summission_result\tournament\Pretest #27\battle-220686\tc-1-1558-vs-1406.log,W,"200 days elapsed, HQ hp 25 vs 20",1,6,34,12,5,36,SUCCESS,0,0,1,1,5,6,BEHIND,0,T6:R32 T18:R3 T26:R9 T33:R10,T6:R34 T18:R59 T29:R58 T34:R36 T40:R65
110496,27,1237,226381,D:\github\2026-NYPC\summission_result\tournament\Pretest #27\battle-226381\tc-1-1237-vs-1558.log,W,B's HQ destroyed on day 176,1,6,45,11,4,33,SUCCESS,0,0,1,1,7,7,TIED,1,T6:R33 T18:R5 T26:R18 T35:R26 T39:R24 T47:R29,T6:R45 T18:R54 T26:R52 T35:R73 T39:R60 T47:R49
110496,27,1558,226791,D:\github\2026-NYPC\summission_result\tournament\Pretest #27\battle-226791\tc-1-1558-vs-25.log,D,"200 days elapsed, HQ hp tied at 20 -> draw",1,18,47,,,20,NO_LAUNCH_RELEASED,,,2,2,7,7,TIED,1,T26:R25 T36:R30 T40:R9 T51:R48 T54:R63,T26:R64 T36:R69 T40:R46 T51:R85 T54:R31
110496,27,1558,228422,D:\github\2026-NYPC\summission_result\tournament\Pretest #27\battle-228422\tc-1-1558-vs-146.log,W,"200 days elapsed, HQ hp 25 vs 20",1,6,30,20,5,39,SUCCESS,0,0,1,1,5,5,TIED,1,T15:R15 T28:R16 T38:R19 T47:R34,T15:R41 T28:R44 T38:R45 T47:R26
110496,28,1558,229667,D:\github\2026-NYPC\summission_result\tournament\Pretest #28\battle-229667\tc-1-1558-vs-143.log,D,"200 days elapsed, HQ hp tied at 10 -> draw",1,18,54,33,3,38,FAILURE_RELEASED,,,2,2,7,7,TIED,3,T24:R5 T35:R36 T39:R20 T51:R26 T53:R50,T24:R103 T35:R72 T39:R82 T51:R88 T53:R58
110496,28,1558,231759,D:\github\2026-NYPC\summission_result\tournament\Pretest #28\battle-231759\tc-1-1558-vs-453.log,W,"200 days elapsed, HQ hp 30 vs 25",1,18,41,,,33,NO_LAUNCH_RESOLVED,0,0,2,2,7,7,TIED,1,T24:R6 T36:R9 T39:R22 T51:R28 T52:R49,T24:R76 T36:R60 T39:R73 T51:R33 T52:R54
110496,28,1558,233427,D:\github\2026-NYPC\summission_result\tournament\Pretest #28\battle-233427\tc-1-1558-vs-176.log,W,B's HQ destroyed on day 180,1,6,40,12,5,36,SUCCESS,0,0,1,1,7,6,AHEAD,0,T6:R27 T18:R6 T26:R14 T33:R19 T42:R31 T44:R49,T6:R40 T18:R66 T26:R53 T35:R61 T39:R74
110496,28,1558,236755,D:\github\2026-NYPC\summission_result\tournament\Pretest #28\battle-236755\tc-1-1558-vs-1354.log,L,"200 days elapsed, HQ hp 20 vs 25",1,18,53,,,30,NO_LAUNCH_RESOLVED,0,0,2,2,8,8,TIED,1,T24:R7 T34:R8 T42:R17 T46:R29 T56:R33 T58:R65,T24:R98 T34:R99 T42:R89 T46:R73 T56:R77 T58:R41
110496,29,1558,237596,D:\github\2026-NYPC\summission_result\tournament\Pretest #29\battle-237596\tc-1-1558-vs-538.log,W,B's HQ destroyed on day 198,1,7,32,24,5,45,SUCCESS,0,0,1,1,5,5,TIED,1,T15:R2 T30:R16 T40:R18 T44:R19,T15:R62 T30:R46 T40:R48 T44:R45
110496,29,1558,238016,D:\github\2026-NYPC\summission_result\tournament\Pretest #29\battle-238016\tc-1-1558-vs-1041.log,W,B's HQ destroyed on day 156,1,6,46,11,4,33,SUCCESS,0,0,1,1,6,5,AHEAD,0,T6:R22 T18:R9 T26:R24 T35:R29 T39:R34,T6:R46 T18:R44 T29:R59 T34:R39
110496,29,1558,240129,D:\github\2026-NYPC\summission_result\tournament\Pretest #29\battle-240129\tc-1-1558-vs-787.log,W,B's HQ destroyed on day 197,1,6,35,12,5,36,SUCCESS,0,0,1,1,6,7,BEHIND,0,T6:R17 T18:R2 T26:R7 T35:R22 T39:R33,T6:R35 T18:R48 T29:R63 T34:R53 T40:R68 T47:R37
110496,29,1558,240541,D:\github\2026-NYPC\summission_result\tournament\Pretest #29\battle-240541\tc-1-1558-vs-614.log,W,"200 days elapsed, HQ hp 25 vs 20",1,19,52,,,31,NO_LAUNCH_RESOLVED,0,0,2,2,8,8,TIED,1,T26:R21 T37:R13 T40:R45 T53:R20 T56:R64 T57:R77,T26:R83 T37:R59 T40:R91 T53:R84 T56:R27 T57:R40
110496,29,1558,242221,D:\github\2026-NYPC\summission_result\tournament\Pretest #29\battle-242221\tc-1-1558-vs-141.log,W,B's HQ destroyed on day 185,1,6,42,12,5,34,SUCCESS,0,0,1,1,7,8,BEHIND,0,T6:R52 T18:R1 T26:R8 T35:R34 T39:R9 T46:R26,T6:R42 T18:R76 T26:R50 T33:R83 T43:R58 T46:R75 T49:R32
110496,29,313,242639,D:\github\2026-NYPC\summission_result\tournament\Pretest #29\battle-242639\tc-1-313-vs-1558.log,W,B's HQ destroyed on day 184,1,6,44,14,3,31,SUCCESS,0,0,1,1,7,7,TIED,3,T14:R5 T28:R11 T38:R13 T46:R33 T49:R27 T61:R56,T14:R83 T28:R55 T38:R75 T46:R77 T49:R61 T61:R32
110496,29,1558,243484,D:\github\2026-NYPC\summission_result\tournament\Pretest #29\battle-243484\tc-1-1558-vs-489.log,W,"200 days elapsed, HQ hp 25 vs 20",1,7,33,16,3,32,FAILURE_RELEASED,,,1,1,6,6,TIED,1,T15:R11 T29:R15 T40:R13 T43:R27 T54:R35,T15:R55 T29:R51 T40:R31 T43:R39 T54:R53
110496,29,1558,244327,D:\github\2026-NYPC\summission_result\tournament\Pretest #29\battle-244327\tc-1-1558-vs-336.log,D,"200 days elapsed, HQ hp tied at 25 -> draw",1,18,44,,,31,NO_LAUNCH_RESOLVED,0,0,2,2,8,8,TIED,1,T25:R4 T35:R11 T39:R13 T49:R18 T52:R33 T62:R32,T25:R70 T35:R75 T39:R77 T49:R84 T52:R55 T62:R56
110496,29,1558,244751,D:\github\2026-NYPC\summission_result\tournament\Pretest #29\battle-244751\tc-1-1558-vs-138.log,W,"200 days elapsed, HQ hp 30 vs 25",1,7,45,12,5,35,SUCCESS,0,0,1,1,7,8,BEHIND,0,T7:R18 T18:R15 T30:R20 T35:R38 T43:R25 T46:R33,T7:R45 T22:R52 T28:R57 T37:R70 T41:R72 T48:R75 T51:R65
110496,30,1558,249467,D:\github\2026-NYPC\summission_result\tournament\Pretest #30\battle-249467\tc-1-1558-vs-1554.log,W,"200 days elapsed, HQ hp 25 vs 20",1,7,42,12,4,34,SUCCESS,0,0,1,1,8,9,BEHIND,0,T7:R35 T18:R5 T30:R8 T35:R9 T42:R22 T46:R21 T54:R36,T7:R42 T22:R49 T28:R48 T37:R62 T41:R76 T48:R79 T51:R63 T57:R75
110496,30,988,250323,D:\github\2026-NYPC\summission_result\tournament\Pretest #30\battle-250323\tc-1-988-vs-1558.log,W,"200 days elapsed, HQ hp 30 vs 25",1,7,38,25,6,48,SUCCESS,0,0,1,1,7,7,TIED,1,T15:R4 T29:R24 T40:R12 T43:R16 T54:R19 T57:R25,T15:R72 T29:R52 T40:R57 T43:R60 T54:R64 T57:R51
110496,30,1558,251192,D:\github\2026-NYPC\summission_result\tournament\Pretest #30\battle-251192\tc-1-1558-vs-1620.log,W,"200 days elapsed, HQ hp 30 vs 25",1,18,47,,,30,NO_LAUNCH_RESOLVED,0,0,2,2,8,8,TIED,1,T24:R10 T34:R22 T42:R6 T45:R16 T55:R34 T58:R55,T24:R72 T34:R84 T42:R78 T45:R88 T55:R60 T58:R39
110496,30,489,251618,D:\github\2026-NYPC\summission_result\tournament\Pretest #30\battle-251618\tc-1-489-vs-1558.log,W,"200 days elapsed, HQ hp 25 vs 20",1,6,45,8,2,17,FAILURE_RELEASED,,,1,1,7,7,TIED,1,T14:R2 T27:R19 T38:R16 T42:R24 T54:R20 T55:R33,T14:R71 T27:R88 T38:R66 T42:R74 T54:R57 T55:R70
110496,30,1558,252917,D:\github\2026-NYPC\summission_result\tournament\Pretest #30\battle-252917\tc-1-1558-vs-1099.log,D,"200 days elapsed, HQ hp tied at 10 -> draw",1,6,31,12,5,36,SUCCESS,0,0,1,1,4,4,TIED,1,T6:R27 T18:R22 T26:R17,T6:R31 T18:R36 T26:R41
110496,30,1558,253346,D:\github\2026-NYPC\summission_result\tournament\Pretest #30\battle-253346\tc-1-1558-vs-773.log,W,"200 days elapsed, HQ hp 25 vs 20",1,6,43,14,3,32,FAILURE_RELEASED,,,1,1,7,7,TIED,1,T14:R5 T27:R12 T38:R24 T42:R49 T54:R29 T56:R35,T14:R74 T27:R81 T38:R62 T42:R37 T54:R57 T56:R51
110496,30,1558,254666,D:\github\2026-NYPC\summission_result\tournament\Pretest #30\battle-254666\tc-1-1558-vs-1165.log,W,"200 days elapsed, HQ hp 25 vs 20",1,6,34,8,2,17,FAILURE_RELEASED,,,1,1,6,6,TIED,1,T14:R15 T28:R12 T39:R20 T42:R27 T53:R29,T14:R53 T28:R56 T39:R39 T42:R41 T53:R48
110496,30,1558,256379,D:\github\2026-NYPC\summission_result\tournament\Pretest #30\battle-256379\tc-1-1558-vs-1054.log,W,"200 days elapsed, HQ hp 30 vs 25",1,7,47,12,5,35,SUCCESS,0,0,1,1,8,7,AHEAD,0,T7:R28 T18:R5 T30:R39 T35:R24 T44:R45 T48:R54 T51:R40,T7:R47 T22:R55 T28:R49 T37:R89 T41:R66 T50:R70
110584,14,217,118863,D:\github\2026-NYPC\summission_result\tournament\Pretest #14\battle-118863\tc-1-217-vs-1558.log,W,B's HQ destroyed on day 170,1,6,25,20,5,39,SUCCESS,0,0,1,1,4,4,TIED,1,T16:R17 T30:R21 T40:R27,T16:R23 T30:R29 T40:R33
110584,14,29,121757,D:\github\2026-NYPC\summission_result\tournament\Pretest #14\battle-121757\tc-1-29-vs-1558.log,W,B's HQ destroyed on day 191,1,7,35,16,3,36,SUCCESS,0,0,1,1,5,5,TIED,1,T16:R19 T30:R25 T40:R28 T44:R6,T16:R51 T30:R42 T40:R45 T44:R64
110584,14,1095,122092,D:\github\2026-NYPC\summission_result\tournament\Pretest #14\battle-122092\tc-1-1095-vs-1558.log,D,"200 days elapsed, HQ hp tied at 10 -> draw",1,7,48,12,4,19,FAILURE_RELEASED,,,1,1,6,6,TIED,3,T7:R45 T18:R16 T30:R17 T35:R23 T41:R37,T7:R48 T18:R67 T30:R73 T35:R53 T41:R74
110584,14,1281,122747,D:\github\2026-NYPC\summission_result\tournament\Pretest #14\battle-122747\tc-1-1281-vs-1558.log,D,"200 days elapsed, HQ hp tied at 10 -> draw",1,18,38,,,30,NO_LAUNCH_RELEASED,,,2,2,6,6,TIED,1,T25:R2 T34:R10 T43:R12 T47:R44,T25:R66 T34:R74 T43:R64 T46:R58
110584,14,411,123047,D:\github\2026-NYPC\summission_result\tournament\Pretest #14\battle-123047\tc-1-411-vs-1558.log,W,B's HQ destroyed on day 152,1,7,28,14,5,34,SUCCESS,0,0,1,1,5,6,BEHIND,0,T7:R14 T23:R15 T29:R10 T36:R30,T7:R28 T19:R26 T28:R41 T37:R42 T41:R46
110584,15,423,126678,D:\github\2026-NYPC\summission_result\tournament\Pretest #15\battle-126678\tc-1-423-vs-1558.log,D,"200 days elapsed, HQ hp tied at 30 -> draw",1,18,51,,,30,NO_LAUNCH_RESOLVED,0,0,2,2,8,8,TIED,1,T24:R8 T35:R13 T39:R22 T51:R39 T53:R49 T56:R45,T24:R94 T35:R80 T39:R89 T51:R53 T53:R63 T56:R57
110584,15,1007,127106,D:\github\2026-NYPC\summission_result\tournament\Pretest #15\battle-127106\tc-1-1007-vs-1558.log,W,"200 days elapsed, HQ hp 30 vs 25",1,18,43,,,31,NO_LAUNCH_RESOLVED,0,0,2,2,7,7,TIED,1,T25:R3 T34:R8 T44:R12 T46:R32 T58:R30,T25:R78 T34:R83 T44:R54 T46:R74 T58:R56
110584,15,939,128746,D:\github\2026-NYPC\summission_result\tournament\Pretest #15\battle-128746\tc-1-939-vs-1558.log,W,"200 days elapsed, HQ hp 25 vs 20",1,6,40,14,3,34,SUCCESS,0,0,1,1,6,6,TIED,1,T14:R5 T27:R25 T38:R4 T42:R16 T54:R48,T14:R55 T27:R75 T38:R76 T42:R32 T54:R64
110584,15,353,130335,D:\github\2026-NYPC\summission_result\tournament\Pretest #15\battle-130335\tc-1-353-vs-1558.log,L,"200 days elapsed, HQ hp 10 vs 15",1,6,29,20,5,39,SUCCESS,0,0,1,1,3,3,TIED,3,T13:R4 T28:R15,T13:R54 T28:R43
110584,15,188,130976,D:\github\2026-NYPC\summission_result\tournament\Pretest #15\battle-130976\tc-1-188-vs-1558.log,W,"200 days elapsed, HQ hp 25 vs 20",1,6,31,14,3,32,FAILURE_RELEASED,,,1,1,5,5,TIED,1,T14:R9 T28:R12 T38:R26 T47:R21,T14:R53 T28:R36 T38:R50 T47:R41
110584,15,1256,131333,D:\github\2026-NYPC\summission_result\tournament\Pretest #15\battle-131333\tc-1-1256-vs-1558.log,W,B's HQ destroyed on day 138,1,6,25,12,5,32,SUCCESS,0,0,1,1,4,4,TIED,1,T6:R30 T22:R8 T28:R17,T6:R25 T22:R42 T28:R33
